Session_ID,Session_Date,Session_Time,Station_ID,Station_Location,Vehicle_Type,Connector_Type,Battery_Start_Percent,Battery_End_Percent,Charging_Duration_Min,Energy_Consumed_kWh,Charging_Status,Failure_Reason,Station_Status,Payment_Status,Charging_Cost
SES-10020,2025-01-02,21:25:26,STN-BLR-01,Bengaluru,Sedan,CHAdeMO,39,88,84,24.99,Completed,None,Charging,Paid,376.38
SES-10021,2025-01-02,15:12:15,STN-MUM-01,Mumbai,SUV,Type 2,80,80,89,0.00,Failed,Network Error,Maintenance,Failed,0.00
SES-10022,2025-01-02,17:11:43,STN-MUM-01,Mumbai,Hatchback,CCS,76,100,108,9.97,Completed,None,Available,Paid,182.10
SES-10023,2025-01-02,18:59:06,STN-KOL-01,Kolkata,SUV,Type 2,61,79,30,16.63,Completed,None,Charging,Paid,277.60
SES-10024,2025-01-02,07:47:17,STN-VSKP-01,Visakhapatnam,Sedan,CCS,53,100,114,24.06,Completed,None,Charging,Paid,441.70
SES-10025,2025-01-02,07:38:03,STN-CHE-01,Chennai,Sedan,CCS,14,78,84,37.73,Completed,None,Available,Paid,697.06
SES-10026,2025-01-02,12:31:39,STN-HYD-02,Hyderabad,Crossover,CHAdeMO,89,100,104,7.97,Completed,None,Available,Paid,122.66
SES-10027,2025-01-02,08:16:48,STN-BLR-01,Bengaluru,Sedan,CCS,33,75,58,24.47,Completed,None,Available,Paid,413.16
SES-10028,2025-01-02,07:18:12,STN-KOL-01,Kolkata,Hatchback,CCS,75,100,74,10.77,Completed,None,Charging,Paid,170.88
SES-10029,2025-01-03,16:25:13,STN-DEL-02,Delhi,SUV,CCS,72,100,50,22.36,Completed,None,Available,Paid,402.52
SES-10030,2025-01-03,17:03:59,STN-KOL-01,Kolkata,Hatchback,Type 2,82,100,105,6.83,Completed,None,Available,Paid,123.49
SES-10031,2025-01-03,16:24:12,STN-PUN-01,Pune,Hatchback,Type 2,28,82,76,20.16,Completed,None,Available,Paid,311.85
SES-10032,2025-01-03,17:37:37,STN-MUM-01,Mumbai,SUV,CCS,47,100,105,43.10,Completed,None,Charging,Paid,794.52
SES-10033,2025-01-03,19:52:29,STN-HYD-01,Hyderabad,SUV,Type 2,43,68,51,22.48,Completed,None,Available,Paid,364.99
SES-10034,2025-01-03,19:02:44,STN-VIJ-01,Vijayawada,Hatchback,CCS,29,96,78,27.65,Completed,None,Available,Paid,416.18
SES-10035,2025-01-03,12:15:21,STN-HYD-01,Hyderabad,Sedan,CCS,87,100,66,7.13,Completed,None,Charging,Paid,114.81
SES-10036,2025-01-03,17:37:07,STN-VIJ-01,Vijayawada,Hatchback,Type 2,72,100,52,10.10,Completed,None,Charging,Paid,156.41
SES-10037,2025-01-03,16:56:05,STN-MUM-01,Mumbai,Hatchback,CCS,38,98,110,23.95,Completed,None,Charging,Paid,367.69
SES-10038,2025-01-03,11:34:09,STN-VIJ-01,Vijayawada,SUV,CHAdeMO,90,100,21,8.96,Completed,None,Charging,Paid,156.34
SES-10039,2025-01-03,11:58:11,STN-MUM-02,Mumbai,SUV,Type 2,57,100,87,35.89,Completed,None,Available,Paid,625.69
SES-10040,2025-01-03,16:30:28,STN-PUN-01,Pune,Sedan,CCS,59,100,73,21.72,Completed,None,Available,Paid,358.69
SES-10041,2025-01-03,19:51:24,STN-CHE-01,Chennai,Hatchback,Type 2,57,100,117,17.65,Completed,None,Charging,Paid,285.61
SES-10042,2025-01-03,02:30:20,STN-DEL-02,Delhi,Sedan,CCS,22,73,60,29.13,Completed,None,Available,Paid,478.56
SES-10043,2025-01-03,20:38:21,STN-MUM-01,Mumbai,Crossover,Type 2,11,70,82,42.28,Completed,None,Available,Paid,752.30
SES-10044,2025-01-03,18:44:41,STN-VIJ-01,Vijayawada,Crossover,CCS,67,100,69,25.37,Completed,None,Available,Paid,450.79
SES-10045,2025-01-04,19:19:51,STN-BLR-01,Bengaluru,Sedan,CCS,79,100,80,12.55,Completed,None,Available,Paid,197.80
SES-10046,2025-01-04,18:53:35,STN-MUM-01,Mumbai,Sedan,Type 2,46,100,89,30.47,Completed,None,Available,Paid,464.57
SES-10047,2025-01-04,13:14:12,STN-DEL-01,Delhi,SUV,Type 2,15,41,37,22.37,Completed,None,Charging,Paid,378.51
SES-10048,2025-01-04,06:57:07,STN-DEL-02,Delhi,Crossover,CCS,13,77,80,41.11,Completed,None,Available,Paid,723.04
SES-10049,2025-01-04,21:44:22,STN-HYD-02,Hyderabad,SUV,CCS,39,55,23,13.13,Completed,None,Available,Paid,212.88
SES-10050,2025-01-04,09:07:58,STN-CBE-01,Coimbatore,SUV,CCS,69,69,41,0.00,Failed,Station Offline,Maintenance,Paid,0.00
SES-10051,2025-01-04,08:58:12,STN-CBE-01,Coimbatore,Hatchback,CCS,88,97,17,3.72,Completed,None,Charging,Paid,58.85
SES-10052,2025-01-04,14:48:27,STN-DEL-02,Delhi,Sedan,CCS,9,37,36,14.22,Completed,None,Charging,Paid,260.27
SES-10053,2025-01-04,18:15:54,STN-VSKP-01,Visakhapatnam,SUV,Type 2,30,31,59,0.50,Cancelled,None,Available,Refunded,0.00
SES-10054,2025-01-04,14:17:16,STN-BLR-01,Bengaluru,Sedan,CCS,55,100,68,23.65,Completed,None,Available,Paid,415.84
SES-10055,2025-01-04,18:12:31,STN-CBE-01,Coimbatore,SUV,CHAdeMO,42,88,66,40.02,Completed,None,Available,Paid,733.79
SES-10056,2025-01-04,11:45:29,STN-KOL-01,Kolkata,Sedan,CCS,7,13,12,3.04,Completed,None,Available,Paid,49.59
SES-10057,2025-01-05,14:42:20,STN-DEL-01,Delhi,SUV,Type 2,89,100,36,9.47,Completed,None,Available,Paid,146.75
SES-10058,2025-01-05,18:47:54,STN-HYD-02,Hyderabad,Hatchback,CCS,63,100,103,16.22,Completed,None,Charging,Paid,289.12
SES-10059,2025-01-05,17:18:51,STN-BLR-02,Bengaluru,SUV,Type 2,17,41,43,20.18,Completed,None,Charging,Paid,362.78
SES-10060,2025-01-05,17:51:09,STN-BLR-01,Bengaluru,Hatchback,CCS,85,100,35,6.18,Completed,None,Available,Paid,102.52
SES-10061,2025-01-05,18:52:22,STN-HYD-01,Hyderabad,Sedan,Type 2,39,100,110,33.38,Completed,None,Available,Paid,526.23
SES-10062,2025-01-05,17:29:32,STN-MUM-02,Mumbai,SUV,CCS,7,36,49,23.18,Completed,None,Available,Paid,347.92
SES-10063,2025-01-05,19:08:53,STN-KOL-01,Kolkata,Sedan,CCS,57,100,95,25.54,Completed,None,Available,Paid,386.96
SES-10064,2025-01-05,23:43:34,STN-DEL-02,Delhi,SUV,CCS,59,66,41,2.32,Cancelled,None,Available,Refunded,0.00
SES-10065,2025-01-05,18:15:08,STN-BLR-02,Bengaluru,Sedan,CCS,49,82,50,18.36,Completed,None,Charging,Paid,291.29
SES-10066,2025-01-05,10:11:32,STN-DEL-01,Delhi,Sedan,Type 2,70,78,11,4.06,Completed,None,Charging,Paid,62.19
SES-10067,2025-01-05,18:56:56,STN-VIJ-01,Vijayawada,Sedan,Type 2,71,100,120,16.55,Completed,None,Available,Paid,281.46
SES-10068,2025-01-05,08:26:11,STN-VSKP-01,Visakhapatnam,Sedan,Type 2,88,100,81,7.00,Completed,None,Charging,Paid,111.72
SES-10069,2025-01-05,11:39:41,STN-KOL-01,Kolkata,SUV,CCS,48,100,115,46.50,Completed,None,Available,Paid,725.95
SES-10070,2025-01-05,11:10:38,STN-BLR-02,Bengaluru,SUV,CCS,77,88,16,9.43,Completed,None,Available,Paid,151.88
SES-10071,2025-01-05,07:16:32,STN-CHE-01,Chennai,Sedan,Type 2,72,94,28,11.33,Completed,None,Available,Paid,196.40
SES-10072,2025-01-05,08:28:20,STN-PUN-01,Pune,Hatchback,Type 2,66,73,42,2.76,Cancelled,None,Available,Refunded,0.00
SES-10073,2025-01-05,16:22:55,STN-VSKP-01,Visakhapatnam,SUV,CCS,29,37,11,3.02,Cancelled,None,Available,Refunded,0.00
SES-10074,2025-01-05,11:49:37,STN-VSKP-01,Visakhapatnam,SUV,Type 2,56,100,76,35.47,Completed,None,Available,Paid,597.33
SES-10075,2025-01-06,01:50:53,STN-VIJ-01,Vijayawada,Hatchback,Type 2,54,100,101,18.82,Completed,None,Available,Paid,347.54
SES-10076,2025-01-06,06:48:34,STN-DEL-02,Delhi,Sedan,Type 2,5,74,87,38.92,Completed,None,Available,Paid,630.76
SES-10077,2025-01-06,12:23:48,STN-PUN-01,Pune,Sedan,CCS,43,56,24,6.49,Completed,None,Charging,Paid,100.64
SES-10078,2025-01-06,10:01:39,STN-HYD-01,Hyderabad,SUV,Type 2,56,58,30,0.80,Failed,Connector Error,Offline,Failed,0.00
SES-10079,2025-01-06,21:27:58,STN-BLR-02,Bengaluru,Crossover,CCS,80,100,87,13.05,Completed,None,Charging,Paid,232.29
SES-10080,2025-01-06,17:18:55,STN-DEL-01,Delhi,SUV,Type 2,44,47,68,1.20,Failed,Payment Failure,Offline,Failed,0.00
SES-10081,2025-01-06,09:01:37,STN-HYD-01,Hyderabad,Hatchback,CCS,64,100,113,14.38,Completed,None,Available,Paid,225.68
SES-10082,2025-01-06,21:50:51,STN-PUN-01,Pune,Hatchback,Type 2,77,100,91,9.40,Completed,None,Available,Paid,155.43
SES-10083,2025-01-07,18:25:48,STN-BLR-02,Bengaluru,SUV,Type 2,88,100,48,11.03,Completed,None,Charging,Paid,170.08
SES-10084,2025-01-07,09:57:12,STN-HYD-01,Hyderabad,SUV,CCS,73,97,29,20.77,Completed,None,Available,Paid,332.24
SES-10085,2025-01-07,01:31:16,STN-BLR-01,Bengaluru,SUV,CCS,24,29,10,3.99,Completed,None,Available,Paid,66.96
SES-10086,2025-01-07,18:54:59,STN-CBE-01,Coimbatore,SUV,Type 2,89,100,82,9.28,Completed,None,Charging,Paid,170.49
SES-10087,2025-01-07,23:57:59,STN-KOL-01,Kolkata,SUV,CCS,6,17,18,9.26,Completed,None,Charging,Paid,170.06
SES-10088,2025-01-07,10:39:55,STN-MUM-01,Mumbai,Hatchback,CCS,89,100,116,4.37,Completed,None,Available,Paid,79.23
SES-10089,2025-01-07,13:00:41,STN-VSKP-01,Visakhapatnam,SUV,CCS,13,46,60,30.83,Completed,None,Available,Paid,477.18
SES-10090,2025-01-07,10:39:32,STN-MUM-02,Mumbai,Sedan,Type 2,43,76,47,16.65,Completed,None,Available,Paid,288.73
SES-10091,2025-01-07,21:07:23,STN-HYD-02,Hyderabad,Hatchback,Type 2,34,38,112,1.60,Failed,Connector Error,Maintenance,Failed,0.00
SES-10092,2025-01-07,11:03:37,STN-BLR-01,Bengaluru,Hatchback,Type 2,58,100,102,16.32,Completed,None,Available,Paid,245.19
SES-10093,2025-01-07,05:08:46,STN-HYD-01,Hyderabad,Crossover,CCS,86,100,24,9.91,Completed,None,Charging,Paid,180.60
SES-10094,2025-01-07,07:11:30,STN-DEL-01,Delhi,SUV,CCS,62,64,93,0.80,Failed,Charging Interrupted,Maintenance,Paid,14.05
SES-10095,2025-01-07,07:13:44,STN-CHE-01,Chennai,Sedan,CCS,48,100,111,31.34,Completed,None,Available,Paid,560.29
SES-10096,2025-01-07,13:33:02,STN-MUM-01,Mumbai,Sedan,CHAdeMO,47,74,50,14.83,Completed,None,Available,Paid,249.55
SES-10097,2025-01-07,08:53:41,STN-HYD-02,Hyderabad,Hatchback,CCS,14,95,103,32.32,Completed,None,Available,Paid,506.99
SES-10098,2025-01-07,20:19:39,STN-BLR-01,Bengaluru,Sedan,CCS,52,84,56,18.43,Completed,None,Available,Paid,316.23
SES-10099,2025-01-08,16:02:23,STN-CBE-01,Coimbatore,Crossover,Type 2,89,100,35,7.76,Completed,None,Available,Paid,134.68
SES-10100,2025-01-08,19:57:26,STN-CHE-01,Chennai,Sedan,Type 2,90,100,63,5.75,Completed,None,Available,Paid,103.90
SES-10101,2025-01-08,05:14:34,STN-CHE-01,Chennai,Hatchback,CCS,21,77,79,20.47,Completed,None,Available,Paid,332.50
SES-10102,2025-01-08,08:52:43,STN-CHE-01,Chennai,Hatchback,CCS,9,45,48,14.82,Completed,None,Charging,Paid,257.53
SES-10103,2025-01-08,12:33:22,STN-MUM-01,Mumbai,Hatchback,Type 2,74,88,26,5.75,Completed,None,Available,Paid,101.60
SES-10104,2025-01-08,20:19:11,STN-KOL-01,Kolkata,Sedan,Type 2,78,100,79,12.24,Completed,None,Available,Paid,195.01
SES-10105,2025-01-08,21:22:47,STN-BLR-02,Bengaluru,SUV,CCS,68,100,101,24.68,Completed,None,Available,Paid,420.02
SES-10106,2025-01-08,18:00:53,STN-BLR-01,Bengaluru,Sedan,Type 2,70,80,18,4.99,Completed,None,Charging,Paid,89.79
SES-10107,2025-01-08,08:29:02,STN-BLR-02,Bengaluru,Sedan,CCS,75,100,100,12.81,Completed,None,Available,Paid,221.21
SES-10108,2025-01-08,10:24:19,STN-VSKP-01,Visakhapatnam,Sedan,Type 2,8,10,108,0.80,Failed,Payment Failure,Maintenance,Failed,0.00
SES-10109,2025-01-08,19:21:20,STN-DEL-02,Delhi,Hatchback,CCS,87,100,55,4.95,Completed,None,Available,Paid,79.94
SES-10110,2025-01-08,18:32:51,STN-MUM-01,Mumbai,Sedan,CCS,32,39,15,3.78,Completed,None,Available,Paid,56.71
SES-10111,2025-01-08,09:14:57,STN-CHE-01,Chennai,Crossover,Type 2,88,100,77,8.51,Completed,None,Available,Paid,155.35
SES-10112,2025-01-08,09:51:14,STN-CHE-01,Chennai,Sedan,Type 2,42,58,25,8.29,Completed,None,Available,Paid,146.47
SES-10113,2025-01-08,13:20:23,STN-VIJ-01,Vijayawada,SUV,Type 2,70,100,96,27.64,Completed,None,Available,Paid,467.18
SES-10114,2025-01-08,07:04:05,STN-VIJ-01,Vijayawada,Sedan,Type 2,71,79,96,2.94,Cancelled,None,Available,Refunded,0.00
SES-10115,2025-01-08,20:47:43,STN-MUM-01,Mumbai,Hatchback,CCS,64,91,38,11.11,Completed,None,Available,Paid,179.60
SES-10116,2025-01-08,18:03:26,STN-CBE-01,Coimbatore,Sedan,CCS,51,92,50,21.17,Completed,None,Available,Paid,375.56
SES-10117,2025-01-08,21:27:34,STN-DEL-02,Delhi,Hatchback,CCS,29,88,77,22.65,Completed,None,Charging,Paid,398.59
SES-10118,2025-01-09,16:22:02,STN-MUM-02,Mumbai,SUV,CHAdeMO,70,100,71,23.17,Completed,None,Charging,Paid,424.17
SES-10119,2025-01-09,12:09:24,STN-DEL-01,Delhi,Crossover,CCS,83,100,113,12.01,Completed,None,Available,Paid,208.64
SES-10120,2025-01-09,21:07:54,STN-MUM-02,Mumbai,Sedan,CCS,71,100,49,17.38,Completed,None,Available,Paid,263.11
SES-10121,2025-01-09,08:04:57,STN-BLR-02,Bengaluru,SUV,CCS,73,75,71,0.80,Failed,Network Error,Offline,Failed,0.00
SES-10122,2025-01-09,16:54:36,STN-MUM-01,Mumbai,Hatchback,Type 2,44,47,33,1.20,Failed,Station Offline,Offline,Paid,20.84
SES-10123,2025-01-09,07:44:37,STN-DEL-01,Delhi,Hatchback,Type 2,54,65,15,4.77,Completed,None,Charging,Paid,87.60
SES-10124,2025-01-09,08:08:58,STN-MUM-02,Mumbai,SUV,CHAdeMO,44,78,49,27.53,Completed,None,Charging,Paid,418.26
SES-10125,2025-01-09,17:00:39,STN-BLR-02,Bengaluru,Hatchback,CCS,41,89,79,18.76,Completed,None,Charging,Paid,305.57
SES-10126,2025-01-09,03:29:10,STN-HYD-01,Hyderabad,Sedan,Type 2,73,77,67,1.60,Failed,Network Error,Offline,Paid,25.41
SES-10127,2025-01-09,16:11:38,STN-PUN-01,Pune,Hatchback,CCS,21,34,23,5.60,Completed,None,Available,Paid,97.62
SES-10128,2025-01-10,07:58:07,STN-KOL-01,Kolkata,Sedan,CCS,66,100,87,17.37,Completed,None,Charging,Paid,292.23
SES-10129,2025-01-10,09:53:27,STN-DEL-01,Delhi,Sedan,CCS,45,76,54,16.73,Completed,None,Available,Paid,261.60
SES-10130,2025-01-10,23:08:38,STN-HYD-02,Hyderabad,SUV,CCS,80,100,120,16.72,Completed,None,Available,Paid,253.96
SES-10131,2025-01-10,22:20:55,STN-DEL-01,Delhi,Hatchback,Type 2,46,100,108,20.19,Completed,None,Charging,Paid,336.80
SES-10132,2025-01-10,10:54:30,STN-BLR-02,Bengaluru,Crossover,CHAdeMO,35,46,15,8.14,Completed,None,Available,Paid,127.03
SES-10133,2025-01-10,05:11:00,STN-VSKP-01,Visakhapatnam,SUV,CCS,37,64,32,23.30,Completed,None,Available,Paid,367.49
SES-10134,2025-01-10,13:39:36,STN-KOL-01,Kolkata,Hatchback,CHAdeMO,47,83,71,15.05,Completed,None,Charging,Paid,228.72
SES-10135,2025-01-10,17:00:56,STN-CHE-01,Chennai,SUV,CCS,71,100,93,22.72,Completed,None,Charging,Paid,344.36
SES-10136,2025-01-10,16:53:41,STN-KOL-01,Kolkata,Hatchback,CCS,42,60,26,7.79,Completed,None,Available,Paid,120.74
SES-10137,2025-01-10,19:16:21,STN-BLR-02,Bengaluru,Sedan,CCS,45,100,93,27.90,Completed,None,Available,Paid,515.74
SES-10138,2025-01-10,14:44:15,STN-KOL-01,Kolkata,SUV,CCS,67,100,79,29.98,Completed,None,Available,Paid,453.23
SES-10139,2025-01-10,10:46:16,STN-BLR-01,Bengaluru,Sedan,CCS,44,100,113,33.84,Completed,None,Available,Paid,522.32
SES-10140,2025-01-11,10:25:12,STN-VSKP-01,Visakhapatnam,Sedan,Type 2,34,60,37,14.92,Completed,None,Charging,Paid,253.81
SES-10141,2025-01-11,06:16:47,STN-CBE-01,Coimbatore,SUV,Type 2,51,51,22,0.00,Failed,Station Offline,Offline,Failed,0.00
SES-10142,2025-01-11,14:05:34,STN-CHE-01,Chennai,Hatchback,Type 2,26,47,38,8.07,Completed,None,Available,Paid,142.02
SES-10143,2025-01-11,08:46:07,STN-BLR-02,Bengaluru,SUV,CCS,59,89,54,27.43,Completed,None,Charging,Paid,495.49
SES-10144,2025-01-11,19:53:26,STN-CBE-01,Coimbatore,Crossover,Type 2,47,66,29,12.72,Completed,None,Available,Paid,203.47
SES-10145,2025-01-11,19:30:52,STN-VSKP-01,Visakhapatnam,Hatchback,Type 2,65,100,67,14.19,Completed,None,Available,Paid,215.16
SES-10146,2025-01-11,08:59:05,STN-MUM-02,Mumbai,Sedan,CHAdeMO,78,100,90,12.91,Completed,None,Available,Paid,237.42
SES-10147,2025-01-11,18:57:48,STN-PUN-01,Pune,SUV,CCS,36,40,63,1.60,Failed,Payment Failure,Maintenance,Failed,0.00
SES-10148,2025-01-11,12:33:25,STN-BLR-02,Bengaluru,Hatchback,CHAdeMO,8,100,108,37.49,Completed,None,Charging,Paid,674.38
SES-10149,2025-01-11,21:25:19,STN-MUM-02,Mumbai,Crossover,Type 2,49,50,118,0.40,Failed,Connector Error,Offline,Failed,0.00
SES-10150,2025-01-11,08:58:49,STN-HYD-02,Hyderabad,Crossover,Type 2,76,100,112,18.05,Completed,None,Available,Paid,296.88
SES-10151,2025-01-12,22:16:56,STN-BLR-01,Bengaluru,Hatchback,CCS,24,27,73,1.20,Failed,Station Offline,Offline,Paid,21.98
SES-10152,2025-01-12,18:12:06,STN-KOL-01,Kolkata,SUV,CCS,75,100,61,21.87,Completed,None,Charging,Paid,341.58
SES-10153,2025-01-12,12:54:14,STN-HYD-01,Hyderabad,Hatchback,CCS,69,100,110,12.39,Completed,None,Available,Paid,226.80
SES-10154,2025-01-12,17:42:46,STN-KOL-01,Kolkata,Sedan,CCS,64,100,52,21.33,Completed,None,Available,Paid,370.28
SES-10155,2025-01-12,17:16:34,STN-VIJ-01,Vijayawada,Sedan,CCS,30,90,96,30.78,Completed,None,Available,Paid,500.14
SES-10156,2025-01-12,10:35:34,STN-BLR-01,Bengaluru,Hatchback,CHAdeMO,77,100,27,9.20,Completed,None,Charging,Paid,144.29
SES-10157,2025-01-12,12:47:43,STN-CHE-01,Chennai,Hatchback,CCS,27,28,109,0.40,Failed,Network Error,Maintenance,Failed,0.00
SES-10158,2025-01-12,19:16:06,STN-VSKP-01,Visakhapatnam,Crossover,CCS,44,94,93,35.87,Completed,None,Charging,Paid,584.83
SES-10159,2025-01-12,08:00:34,STN-PUN-01,Pune,Sedan,CCS,6,47,63,21.35,Completed,None,Available,Paid,358.12
SES-10160,2025-01-12,10:12:05,STN-BLR-01,Bengaluru,Hatchback,CCS,30,91,69,22.66,Completed,None,Charging,Paid,358.40
SES-10161,2025-01-12,18:13:36,STN-CBE-01,Coimbatore,Hatchback,CCS,82,100,80,7.60,Completed,None,Charging,Paid,134.45
SES-10162,2025-01-12,05:46:03,STN-DEL-01,Delhi,SUV,Type 2,66,100,109,30.41,Completed,None,Available,Paid,487.59
SES-10163,2025-01-12,16:15:27,STN-HYD-01,Hyderabad,Sedan,CCS,48,100,115,30.06,Completed,None,Available,Paid,554.06
SES-10164,2025-01-12,20:03:44,STN-CHE-01,Chennai,SUV,Type 2,35,40,10,3.92,Completed,None,Available,Paid,63.60
SES-10165,2025-01-12,08:31:44,STN-DEL-01,Delhi,SUV,CCS,30,39,46,3.00,Cancelled,None,Available,Refunded,0.00
SES-10166,2025-01-12,18:02:53,STN-CHE-01,Chennai,SUV,Type 2,87,100,58,9.95,Completed,None,Charging,Paid,177.91
SES-10167,2025-01-12,09:14:42,STN-DEL-01,Delhi,SUV,CHAdeMO,9,10,44,0.40,Failed,Payment Failure,Maintenance,Failed,0.00
SES-10168,2025-01-12,08:38:44,STN-DEL-02,Delhi,Hatchback,CCS,74,100,114,9.62,Completed,None,Available,Paid,171.82
SES-10169,2025-01-12,19:06:55,STN-PUN-01,Pune,Sedan,Type 2,39,99,76,30.07,Completed,None,Available,Paid,532.46
SES-10170,2025-01-12,14:38:41,STN-MUM-02,Mumbai,SUV,CCS,20,45,44,20.35,Completed,None,Charging,Paid,323.40
SES-10171,2025-01-12,09:15:34,STN-KOL-01,Kolkata,SUV,CCS,35,91,102,47.23,Completed,None,Charging,Paid,720.32
SES-10172,2025-01-13,06:37:17,STN-BLR-01,Bengaluru,Sedan,CCS,86,100,18,7.23,Completed,None,Charging,Paid,116.38
SES-10173,2025-01-13,04:52:28,STN-HYD-02,Hyderabad,Crossover,CCS,18,46,46,21.02,Completed,None,Available,Paid,377.75
SES-10174,2025-01-13,12:33:42,STN-DEL-01,Delhi,Sedan,CHAdeMO,29,68,69,19.98,Completed,None,Charging,Paid,326.99
SES-10175,2025-01-13,20:22:04,STN-DEL-02,Delhi,SUV,CCS,83,86,65,1.20,Failed,Connector Error,Maintenance,Failed,0.00
SES-10176,2025-01-13,00:55:57,STN-PUN-01,Pune,Hatchback,CCS,79,100,115,8.10,Completed,None,Charging,Paid,124.85
SES-10177,2025-01-13,08:43:03,STN-HYD-02,Hyderabad,Sedan,CCS,75,77,120,0.80,Failed,Network Error,Maintenance,Failed,0.00
SES-10178,2025-01-13,18:05:31,STN-VIJ-01,Vijayawada,Hatchback,Type 2,22,77,98,21.23,Completed,None,Available,Paid,362.20
SES-10179,2025-01-13,13:14:39,STN-BLR-01,Bengaluru,SUV,CHAdeMO,54,66,21,9.60,Completed,None,Available,Paid,156.82
SES-10180,2025-01-13,16:08:36,STN-DEL-02,Delhi,Sedan,Type 2,24,80,111,32.53,Completed,None,Charging,Paid,583.99
SES-10181,2025-01-13,20:05:47,STN-HYD-02,Hyderabad,Crossover,CCS,60,100,80,29.76,Completed,None,Available,Paid,539.84
SES-10182,2025-01-13,20:02:41,STN-HYD-01,Hyderabad,Sedan,CCS,6,9,80,1.16,Cancelled,None,Available,Refunded,0.00
SES-10183,2025-01-13,00:16:31,STN-MUM-01,Mumbai,SUV,CCS,30,40,13,8.63,Completed,None,Available,Paid,144.31
SES-10184,2025-01-13,22:03:16,STN-KOL-01,Kolkata,Sedan,CCS,27,68,70,22.00,Completed,None,Available,Paid,359.91
SES-10185,2025-01-13,18:04:31,STN-CHE-01,Chennai,Sedan,CCS,36,66,54,16.15,Completed,None,Available,Paid,258.42
SES-10186,2025-01-13,17:05:34,STN-CHE-01,Chennai,Hatchback,CCS,17,17,120,0.00,Failed,Connector Error,Offline,Paid,0.00
SES-10187,2025-01-13,21:19:21,STN-BLR-02,Bengaluru,Hatchback,Type 2,17,100,104,31.54,Completed,None,Available,Paid,507.97
SES-10188,2025-01-14,19:10:12,STN-VIJ-01,Vijayawada,Sedan,CCS,21,59,59,20.37,Completed,None,Available,Paid,356.17
SES-10189,2025-01-14,23:02:08,STN-HYD-01,Hyderabad,SUV,Type 2,62,91,59,24.60,Completed,None,Available,Paid,374.17
